iter	Passed	Remaining
0	113005	451909631
1	225880	451534978
2	339280	452034454
3	453181	452728177
4	567430	453377156
5	680989	453311807
6	794683	453310285
7	908134	453159025
8	1021764	453095808
9	1135003	452866503
10	1248555	452771802
11	1362952	452954644
12	1475907	452649571
13	1590414	452813821
14	1704793	452906758
15	1819151	452968730
16	1933383	452980389
17	2046965	452834328
18	2161291	452847541
19	2274941	452713346
20	2388623	452587308
21	2501115	452247077
22	2615393	452235656
23	2729775	452232843
24	2843327	452089036
25	2956267	451854073
26	3070543	451824816
27	3185566	451895382
28	3299076	451745914
29	3413614	451735049
30	3527391	451619886
31	3641351	451527599
32	3755186	451418876
33	3867769	451163919
34	3980997	450990108
35	4095173	450924133
36	4208300	450743063
37	4321507	450573980
38	4435143	450451339
39	4548049	450256859
40	4661537	450122618
41	4775343	450019271
42	4889493	449947092
43	5001615	449690715
44	5115906	449631344
45	5230135	449564260
46	5343816	449449049
47	5458917	449450909
48	5572284	449308117
49	5686008	449194696
50	5799071	449030095
51	5911825	448843981
52	6024766	448674623
53	6139574	448643711
54	6253198	448524887
55	6366050	448351874
56	6478382	448144917
57	6592294	448048727
58	6705382	447896814
59	6818106	447722356
60	6931716	447607057
61	7046154	447544480
62	7158471	447347645
63	7270458	447133225
64	7382844	446946034
65	7496155	446816290
66	7609662	446698547
67	7723510	446600619
68	7838017	446539808
69	7951814	446437605
70	8064896	446295473
71	8177288	446116499
72	8289529	445931240
73	8403312	445829784
74	8517826	445766255
75	8631260	445645586
76	8743905	445484956
77	8857807	445388721
78	8970768	445245376
79	9085203	445174953
80	9198663	445056332
81	9311558	444910821
82	9425435	444812419
83	9538533	444677351
84	9650836	444506176
85	9764219	444385523
86	9877528	444261729
87	9992460	444210294
88	10105907	444092199
89	10219485	443979861
90	10332862	443858907
91	10446484	443748499
92	10559429	443609569
93	10673489	443517550
94	10787201	443410744
95	10900910	443303696
96	11015702	443240057
97	11130703	443183722
98	11245785	443129386
99	11358966	442999678
100	11474103	442945822
101	11588350	442856783
102	11702954	442780705
103	11817023	442683868
104	11931987	442619914
105	12047805	442586381
106	12161957	442490670
107	12276085	442393740
108	12389855	442283726
109	12503324	442163006
110	12617236	442057947
111	12731311	441958393
112	12845522	441863230
113	12959416	441756952
114	13072987	441639634
115	13187625	441558068
116	13301943	441465368
117	13415509	441347517
118	13529868	441255623
119	13643523	441140584
120	13757700	441042315
121	13870657	440904999
122	13984852	440807085
123	14099306	440717025
124	14212635	440591707
125	14327812	440523387
126	14441375	440405098
127	14554602	440276727
128	14669687	440204336
129	14783269	440086555
130	14900873	440087625
131	15045249	440871403
